,Date,Tempurature_Median,Weekend,Beer_Consumption
311,2015-11-08,20.24,1,28.61
312,2015-11-09,22.98,0,28.456
313,2015-11-10,23.72,0,27.964000000000002
314,2015-11-11,26.2,0,29.569000000000003
315,2015-11-12,23.78,0,29.267
316,2015-11-13,22.78,0,28.647
317,2015-11-14,25.06,1,26.836
318,2015-11-15,23.06,1,29.386
319,2015-11-16,21.16,0,24.609
320,2015-11-17,21.76,0,26.964000000000002
321,2015-11-18,25.5,0,23.614
322,2015-11-19,26.16,0,22.96
323,2015-11-20,23.28,0,20.332
324,2015-11-21,19.44,1,30.392
325,2015-11-22,22.26,1,31.933000000000003
326,2015-11-23,20.8,0,21.662
327,2015-11-24,21.36,0,21.689
328,2015-11-25,21.26,0,25.119
329,2015-11-26,22.28,0,25.285
330,2015-11-27,22.28,0,28.979
331,2015-11-28,23.7,1,34.382
332,2015-11-29,22.38,1,30.616999999999997
333,2015-11-30,19.1,0,20.238
334,2015-12-01,20.1,0,24.529
335,2015-12-02,22.1,0,30.471
336,2015-12-03,22.44,0,28.405
337,2015-12-04,22.76,0,29.513
338,2015-12-05,24.8,1,32.451
339,2015-12-06,23.12,1,32.78
340,2015-12-07,20.04,0,23.375
341,2015-12-08,21.7,0,27.713
342,2015-12-09,23.96,0,27.136999999999997
343,2015-12-10,24.0,0,22.933000000000003
344,2015-12-11,24.04,0,30.74
345,2015-12-12,23.92,1,29.579
346,2015-12-13,24.54,1,29.188000000000002
347,2015-12-14,26.28,0,28.131
348,2015-12-15,25.66,0,28.616999999999997
349,2015-12-16,22.04,0,21.061999999999998
350,2015-12-17,23.32,0,24.337
351,2015-12-18,26.42,0,27.041999999999998
352,2015-12-19,23.74,1,32.536
353,2015-12-20,22.84,1,30.127
354,2015-12-21,23.12,0,24.834
355,2015-12-22,24.6,0,26.828000000000003
356,2015-12-23,27.46,0,26.468000000000004
357,2015-12-24,24.72,0,31.572
358,2015-12-25,23.58,0,26.308000000000003
359,2015-12-26,23.34,1,21.955
360,2015-12-27,24.0,1,32.306999999999995
361,2015-12-28,22.64,0,26.095
362,2015-12-29,21.68,0,22.309
363,2015-12-30,21.38,0,20.467
364,2015-12-31,24.76,0,22.445999999999998
